age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,native-country,income
30, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Own-child, White, Male, United-States, <=50K
22, State-gov, Some-college,10, Married-civ-spouse, Other-service, Husband, Black, Male, United-States, <=50K
48, Private, 11th,7, Never-married, Machine-op-inspct, Unmarried, White, Male, Puerto-Rico, <=50K
21, Private, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male, United-States, <=50K
19, Private, HS-grad,9, Married-AF-spouse, Adm-clerical, Wife, White, Female, United-States, <=50K
31, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male, ?, >50K
48, Self-emp-not-inc, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
31, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
53, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
24, Private, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, <=50K
49, Private, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female, United-States, <=50K
25, Private, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
57, Federal-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male, United-States, >50K
53, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
44, Private, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female, United-States, <=50K
41, State-gov, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
29, Private, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, <=50K
25, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Other, Female, United-States, <=50K
18, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Female, ?, <=50K
47, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female, Honduras, >50K
50, Federal-gov, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male, United-States, >50K
47, Self-emp-inc, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
43, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, >50K
46, Private, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, Mexico, <=50K
35, Private, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male, Puerto-Rico, <=50K
41, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
30, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
30, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
32, ?, 7th-8th,4, Married-spouse-absent, ?, Not-in-family, White, Male, ?, <=50K
48, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
42, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
29, Private, Some-college,10, Divorced, Tech-support, Not-in-family, White, Male, United-States, <=50K
36, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
28, Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
53, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
49, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
25, ?, Some-college,10, Never-married, ?, Own-child, White, Male, United-States, <=50K
19, Private, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male, United-States, <=50K
31, Private, Bachelors,13, Separated, Sales, Own-child, Black, Female, United-States, <=50K
29, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
23, Private, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White, Male, United-States, <=50K
79, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Other-relative, White, Male, United-States, <=50K
27, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Male, Mexico, <=50K
40, Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
67, ?, 10th,6, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
18, Private, 11th,7, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
31, Local-gov, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, <=50K
18, Private, HS-grad,9, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
52, Private, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male, Cuba, <=50K
46, Private, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female, United-States, <=50K
59, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
44, Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Female, United-States, >50K
53, Private, HS-grad,9, Divorced, Sales, Own-child, White, Female, United-States, <=50K
49, Local-gov, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, >50K
33, Private, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
30, Private, 9th,5, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
43, Federal-gov, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, >50K
57, Private, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
37, Private, Some-college,10, Divorced, Craft-repair, Unmarried, White, Female, United-States, <=50K
28, Private, Some-college,10, Divorced, Machine-op-inspct, Unmarried, Black, Female, United-States, <=50K
30, Private, HS-grad,9, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female, ?, <=50K
34, Local-gov, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, >50K
29, Local-gov, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
48, Self-emp-not-inc, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
37, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
48, Private, Assoc-acdm,12, Divorced, Exec-managerial, Unmarried, White, Female, England, <=50K
32, Federal-gov, HS-grad,9, Never-married, Other-service, Own-child, Black, Male, United-States, <=50K
76, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
44, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
47, Self-emp-not-inc, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
20, Private, Some-college,10, Never-married, Tech-support, Own-child, White, Female, United-States, <=50K
29, Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
32, Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
17, ?, 10th,6, Never-married, ?, Own-child, White, Female, United-States, <=50K
30, Private, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male, United-States, <=50K
31, Local-gov, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
42, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States, <=50K
24, Private, Bachelors,13, Never-married, Sales, Other-relative, White, Male, United-States, <=50K
38, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
56, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male, Canada, >50K
28, Private, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female, United-States, <=50K
36, Private, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female, United-States, <=50K
53, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States, <=50K
56, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
49, Local-gov, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Black, Male, United-States, >50K
55, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
22, Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
21, Private, Some-college,10, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
40, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
30, Private, Bachelors,13, Never-married, Exec-managerial, Own-child, Black, Male, Germany, <=50K
29, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
19, Private, Some-college,10, Never-married, Other-service, Own-child, Black, Male, United-States, <=50K
47, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States, >50K
20, Private, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
31, Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
35, ?, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
39, Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
28, Private, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, Female, United-States, <=50K
24, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female, United-States, <=50K
38, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
37, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
46, Private, Assoc-acdm,12, Divorced, Tech-support, Not-in-family, Black, Female, United-States, <=50K
38, Federal-gov, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male, Iran, >50K
43, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
27, Private, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, <=50K
20, Private, Some-college,10, Never-married, Sales, Own-child, White, Male, United-States, <=50K
49, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, United-States, >50K
61, Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
27, Private, Some-college,10, Never-married, Sales, Own-child, White, Female, United-States, <=50K
19, Private, Some-college,10, Never-married, Other-service, Own-child, White, Male, Mexico, <=50K
45, Private, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, >50K
70, Private, Some-college,10, Never-married, Tech-support, Other-relative, White, Male, United-States, <=50K
31, Private, HS-grad,9, Never-married, Transport-moving, Unmarried, Black, Female, United-States, <=50K
22, Private, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
36, Private, HS-grad,9, Widowed, Other-service, Unmarried, White, Female, United-States, <=50K
64, Private, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
43, ?, Some-college,10, Divorced, ?, Not-in-family, White, Female, United-States, <=50K
47, Local-gov, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female, Mexico, <=50K
34, Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
33, Private, Bachelors,13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female, Philippines, <=50K
21, Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
52, ?, HS-grad,9, Divorced, ?, Not-in-family, White, Male, United-States, >50K
48, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
23, Private, Bachelors,13, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
71, Self-emp-not-inc, Some-college,10, Separated, Sales, Unmarried, Black, Male, United-States, <=50K
29, Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
42, Private, Bachelors,13, Separated, Other-service, Other-relative, Black, Male, United-States, <=50K
68, ?, 1st-4th,2, Divorced, ?, Not-in-family, White, Female, United-States, <=50K
25, Private, HS-grad,9, Never-married, Other-service, Unmarried, White, Female, United-States, <=50K
44, Self-emp-inc, Masters,14, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female, United-States, <=50K
28, Private, HS-grad,9, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female, England, <=50K
45, Self-emp-not-inc, Masters,14, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
36, Private, Some-college,10, Divorced, Other-service, Unmarried, White, Female, Mexico, <=50K
39, Federal-gov, Assoc-acdm,12, Never-married, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
46, State-gov, Masters,14, Widowed, Protective-serv, Unmarried, White, Male, United-States, <=50K
18, Private, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male, United-States, <=50K
66, Local-gov, Assoc-voc,11, Widowed, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
27, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male, United-States, <=50K
28, State-gov, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, <=50K
51, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
27, Private, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
28, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
27, Private, HS-grad,9, Married-spouse-absent, Sales, Unmarried, White, Female, United-States, <=50K
21, Private, HS-grad,9, Never-married, Craft-repair, Own-child, Black, Male, United-States, <=50K
34, Private, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, Black, Male, United-States, <=50K
18, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
33, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
44, Local-gov, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male, United-States, >50K
43, Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
30, Private, Some-college,10, Never-married, Craft-repair, Not-in-family, Black, Male, United-States, <=50K
40, Private, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, Mexico, >50K
37, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
34, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male, United-States, <=50K
41, Self-emp-not-inc, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
53, ?, Bachelors,13, Divorced, ?, Not-in-family, White, Female, United-States, <=50K
31, Private, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States, <=50K
58, State-gov, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
38, Private, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, Black, Female, United-States, <=50K
24, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
41, Local-gov, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Black, Male, United-States, <=50K
47, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, <=50K
41, Federal-gov, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, <=50K
23, Private, 5th-6th,3, Married-civ-spouse, Transport-moving, Other-relative, White, Male, Mexico, <=50K
36, Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
40, Federal-gov, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female, United-States, >50K
35, Private, Masters,14, Married-civ-spouse, Prof-specialty, Other-relative, White, Male, United-States, >50K
24, Self-emp-not-inc, HS-grad,9, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
26, Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
19, ?, HS-grad,9, Never-married, ?, Own-child, White, Male, Italy, <=50K
51, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
42, Local-gov, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
37, State-gov, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female, United-States, <=50K
18, Private, 11th,7, Never-married, Sales, Own-child, White, Female, United-States, <=50K
36, Private, Bachelors,13, Married-civ-spouse, Other-service, Husband, Black, Male, United-States, >50K
35, Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
58, Self-emp-inc, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female, United-States, >50K
17, Private, 11th,7, Never-married, Sales, Own-child, White, Female, United-States, <=50K
44, Local-gov, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male, United-States, <=50K
37, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
35, Private, Some-college,10, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female, United-States, <=50K
60, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, United-States, <=50K
54, Self-emp-inc, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, >50K
37, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black, Male, United-States, >50K
50, Private, Assoc-acdm,12, Divorced, Sales, Not-in-family, White, Female, United-States, <=50K
38, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male, Poland, <=50K
45, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
25, Private, 10th,6, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
31, Private, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States, <=50K
64, ?, 1st-4th,2, Divorced, ?, Not-in-family, White, Male, United-States, <=50K
90, Private, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Male, United-States, <=50K
54, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male, United-States, <=50K
53, Local-gov, Preschool,1, Never-married, Machine-op-inspct, Not-in-family, White, Female, United-States, <=50K
18, Private, HS-grad,9, Never-married, Sales, Own-child, White, Female, United-States, <=50K
60, ?, 10th,6, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female, United-States, <=50K
66, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, <=50K
75, Private, Assoc-voc,11, Widowed, Adm-clerical, Not-in-family, White, Female, Columbia, <=50K
65, Private, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
35, Private, 11th,7, Separated, Transport-moving, Not-in-family, Black, Male, United-States, <=50K
41, Private, HS-grad,9, Divorced, Sales, Unmarried, Black, Female, United-States, <=50K
25, Private, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
33, Private, Some-college,10, Divorced, Craft-repair, Other-relative, Other, Female, United-States, <=50K
28, Private, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, >50K
59, State-gov, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
40, State-gov, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
41, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male, Iran, >50K
38, Local-gov, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
23, Private, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male, United-States, <=50K
40, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
41, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female, United-States, <=50K
24, State-gov, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, <=50K
20, ?, Some-college,10, Never-married, ?, Own-child, White, Male, United-States, <=50K
38, Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
56, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male, ?, <=50K
58, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
32, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female, United-States, <=50K
40, Private, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, >50K
45, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male, ?, <=50K
41, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States, >50K
42, Private, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, Black, Female, United-States, <=50K
59, Local-gov, 10th,6, Widowed, Other-service, Unmarried, Black, Female, United-States, <=50K
19, Local-gov, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male, United-States, <=50K
58, Private, Some-college,10, Never-married, Transport-moving, Not-in-family, White, Male, United-States, <=50K
42, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male, Cambodia, >50K
20, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
32, Private, HS-grad,9, Separated, Other-service, Not-in-family, White, Female, United-States, <=50K
45, Private, Assoc-voc,11, Widowed, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
50, Private, 7th-8th,4, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
36, Private, Bachelors,13, Divorced, Prof-specialty, Own-child, White, Female, United-States, <=50K
45, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
17, Private, 11th,7, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
59, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
26, Private, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
37, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male, Thailand, >50K
19, ?, Some-college,10, Never-married, ?, Own-child, White, Male, Canada, <=50K
64, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
33, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
33, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Wife, White, Female, United-States, >50K
61, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
17, Private, 9th,5, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
50, Self-emp-not-inc, Masters,14, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, <=50K
27, Local-gov, Masters,14, Never-married, Prof-specialty, Own-child, White, Male, United-States, <=50K
30, Private, HS-grad,9, Divorced, Prof-specialty, Own-child, White, Female, United-States, <=50K
43, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, United-States, <=50K
44, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
35, Private, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
25, Private, Some-college,10, Never-married, Tech-support, Own-child, White, Female, United-States, <=50K
24, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, United-States, >50K
22, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female, Germany, <=50K
42, Local-gov, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
34, Private, Assoc-acdm,12, Divorced, Sales, Unmarried, Black, Female, United-States, <=50K
60, Private, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
21, Private, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male, United-States, <=50K
57, Federal-gov, Masters,14, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
41, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
50, Private, Some-college,10, Divorced, Other-service, Not-in-family, White, Male, United-States, <=50K
25, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
50, Private, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male, Ecuador, <=50K
36, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
